Category,Recall@10,Recall@50,mAP@10,mAP@50
shirt,22.76741862297058,40.186455845832825,12.246756118167488,13.052846518664149
dress,17.501239478588104,35.94447076320648,7.335898873013439,8.152222586079997
toptee,25.229111313819885,46.46900296211243,12.405104232284259,13.376812340234812
Average,21.83258980512619,40.86664319038391,10.66258640782173,11.527293814992987
